1,Friday,july,Booked,open,open,open,open,open,open,open
2,Saturday,july,Booked,open,open,open,open,open,open,open
3,Sunday,july,Booked, pt ,open,open,open,open,open, pt 
4,Monday,july,open,Booked,open,open,open,open,open,open
5,Tuesday,july,open,open,open,open,open,open,open,open
6,Wednesday,july,open,open,open,open,open,open,open,open
7,Thursday,july,open,open,open,open,open,open,open,open
8,Friday,july,open,open,open,open,open,open,open,open
9,Saturday,july,open,open,open,open,open,open,open,open
10,Sunday,july,open,open,open,open,open,open,open,open
11,Monday,july,Booked,open,open,open,open,open,open,open
12,Tuesday,july,open,open,open,open,open,open,open,open
13,Wednesday,july,open,open,open,open,open,open,open,open
14,Thursday,july,Booked,open,open,open,open,open,open,open
15,Friday,july,open,open,open,open,open,open,open,open
16,Saturday,july,open,open,open,open,open,open,open,open
17,Sunday,july,open,open,open,open,open,open,open,open
18,Monday,july,open,open,open,open,open,open,open,open
19,Tuesday,july,open,open,open,open,open,open,open,open
20,Wednesday,july,open,open,open,open,open,open,open,open
21,Thursday,july,open,open,open,open,open,open,open,open
22,Friday,july,open,open,open,open,open,open,open,open
23,Saturday,july,open,open,open,open,open,open,open,open
24,Sunday,july,Booked,open,open,open,open,open,open,open
25,Monday,july,open,open,open,open,open,open,open,open
26,Tuesday,july,open,open,open,open,open,open,open,open
27,Wednesday,july,Booked,Booked,open,open,open,open,open,open
28,Thursday,july,open,open,open,open,open,open,open,open
29,Friday,july,open,open,Booked,open,open,open,open,open
30,Saturday,july,open,open,open,open,open,open,open,open
31,Sunday,july,Booked,open,open,open,open,open,open,open
